threshold,amro,vath,towa,brcr,psfl,deju,hafl,heth,osfl,evgr
0.5,0.013971431176611466,0.12430571082566648,0.18511020212213253,0.05331546398609591,0.08088843646656772,0.0055825546641269244,0.04445687613847347,0.03317897503598565,0.049031611926690095,0.0731785359981157
0.51,0.014438381426400276,0.1259979883235678,0.19217326626973125,0.054243610200528085,0.08162369893756008,0.005825093901675887,0.04643318210000224,0.034246889585950284,0.050203871240224573,0.07390255328133064
0.52,0.014921094391075815,0.12771132327528287,0.19944577174041464,0.05518773385503567,0.08236564205640624,0.0060783130145499725,0.0484945688401069,0.03534881514856482,0.05140361308794065,0.07463374480816753
0.53,0.015420506145927411,0.12944730229704154,0.2069351582750056,0.056148866618675325,0.08311492401586944,0.006342902252626759,0.050646127375636944,0.03648670718535468,0.05263242714330078,0.07537277102149835
0.54,0.015937627549393377,0.13120758943438784,0.21464919083629636,0.05712810170492861,0.08387222911095356,0.006619612440352388,0.05289335737646735,0.0376626715254223,0.05389201242657072,0.07612032020646105
0.55,0.016473552107867825,0.13299393537871212,0.22259597370986328,0.05812660053065923,0.08463827144916598,0.006909261716090399,0.055242208082770514,0.038878979709447266,0.05518418843576203,0.07687711226947683
0.56,0.017029464852299305,0.13480818757284846,0.2307839650433209,0.05914560010370337,0.08541379897614278,0.007212743189806105,0.05769912419370416,0.040138086244118264,0.05651090758878196,0.07764390285154851
0.5700000000000001,0.017606652383728306,0.13665230135007495,0.2392219917836612,0.06018642125179178,0.08619959787350319,0.007531033667990306,0.06027109743807546,0.04144264805521033,0.057874269173431164,0.07842148783450757
0.58,0.018206514273461254,0.1385283522729548,0.24791926495841643,0.06125047782411033,0.08699649739394168,0.00786520362293257,0.06296572465509812,0.042795546478325626,0.05927653503556167,0.07921070830747379
0.59,0.018830576038135434,0.14043854986519091,0.2568853952293891,0.06233928701924854,0.08780537520851037,0.008216428617807268,0.0657912733530537,0.04419991218751096,0.060720147276221687,0.08001245607127001
0.6,0.019480503951933462,0.14238525296202958,0.2661304086269814,0.06345448102042636,0.08862716335317128,0.008586002441057419,0.06875675588018633,0.045659153535969936,0.0622077482775397,0.08082767977128852
0.61,0.020158122009489188,0.14437098694401276,0.27566476234796433,0.06459782015182866,0.08946285487648836,0.008975352255202023,0.07187201354130794,0.047176988872961206,0.06374220343642532,0.08165739176484851
0.62,0.020865431415928216,0.14639846316664099,0.28549936046890495,0.06577120780999822,0.09031351130839274,0.009386056128957817,0.07514781223255973,0.04875748351060183,0.06532662705739897,0.08250267584805367
0.63,0.021604633058014744,0.14847060095681783,0.2956455693903053,0.06697670747332067,0.09118027109208138,0.009819863400700877,0.0785959514545354,0.05040509214863766,0.06696441194422001,0.08336469599038912
0.64,0.022378153506421763,0.15059055261841464,0.3061152327813833,0.06821656215295173,0.09206435914829353,0.010278718420021355,0.08222938891173073,0.05212470773067785,0.06865926333858087,0.08424470625383271
0.65,0.023188675218767867,0.1527617319772852,0.3169206857406507,0.0694932167230314,0.09296709777475552,0.010764788337981473,0.0860623833281298,0.053921717910152316,0.07041523798828767,0.08514406210847417
0.66,0.024039171762901865,0.1549878471049291,0.32807476782091705,0.07080934366051622,0.09388991912516492,0.011280495772976615,0.090110658622436,0.055802070559060286,0.07223678929396567,0.0860642334002919
0.67,0.024932949068719474,0.15727293799542622,0.3395908344864782,0.07216787284043832,0.09483437956389494,0.011828557377530457,0.09439159321451099,0.05777235007145669,0.07412881969144018,0.08700681928115236
0.6799999999999999,0.02587369395619111,0.15962142013968375,0.35148276647181986,0.07357202617744588,0.09580217625751997,0.012412029584923056,0.09892443900565283,0.059839866615076155,0.07609674168845171,0.08797356547929762
0.69,0.0268655314928446,0.1620381351542963,0.36376497639119715,0.07502535808783056,0.09679516644610543,0.01303436314080125,0.1037305755260613,0.062012760993086835,0.07814654930506099,0.08896638437460029
0.7,0.027913093126715634,0.16452840989252196,0.3764524118019221,0.07653180297958997,0.09781538994105853,0.013699468447729561,0.10883380592027975,0.06430012842659667,0.0802849020881088,0.08998737845205262
0.71,0.02902159804940392,0.1670981258096333,0.3895605537448325,0.07809573127717713,0.0988650955290513,0.014411794302796127,0.11426070290636753,0.06671216540160456,0.08251922440992372,0.09103886784655049
0.72,0.030196950907748692,0.16975380079807093,0.40310540956525753,0.07972201587393565,0.09994677213239632,0.015176423335345877,0.12004101467593846,0.06926034480206128,0.08485782345890631,0.09212342287184044
0.73,0.031445859856449,0.17250268628204762,0.4171034985467069,0.08141611140832543,0.10106318579802258,0.015999188417311756,0.1262081430029227,0.07195762595668945,0.0873100302379794,0.09324390265998214
0.74,0.032775980104425395,0.1753528831116386,0.4315718285544821,0.08318414942093223,0.10221742387751301,0.01688681561251268,0.13279970873392863,0.07481870807655834,0.08988636908016748,0.09440350134348459
0.75,0.03419608966367256,0.17831348078593687,0.4465278614706015,0.08503305332550028,0.10341294814421727,0.017847100982583155,0.13985822352027824,0.07786033801494135,0.09259876277259022,0.09560580361651046
0.76,0.035716306117002085,0.18139472585258243,0.461989464682865,0.08697067830065375,0.10465365910522871,0.01888913096262146,0.14743189135684415,0.08110168657024776,0.09546078249827422,0.09685485205121466
0.77,0.03734835610751776,0.18460822710420352,0.4779748452405427,0.08900598279727226,0.10594397445616194,0.0200235593332398,0.1555755695295569,0.0845648120063997,0.09848795467116249,0.09815522927346501
0.78,0.03910591325258994,0.1879672076056021,0.4945024624683397,0.09114924053127216,0.10728892556808076,0.021262958455292313,0.1643519263618031,0.08827523556224369,0.10169814066184599,0.09951215909608307
0.79,0.0410050257990564,0.19148681691021602,0.5115909137866617,0.0934123048467056,0.1086942771960748,0.02262226901521016,0.17383284325427265,0.09226266216929165,0.10511201084527048,0.1009316320812059
0.8,0.04306466332497098,0.19518452146567414,0.5292587871480485,0.09580894157116288,0.11016667741883221,0.02411938199839428,0.18410112169453946,0.09656189145333939,0.10875364203006896,0.10242056292707612
0.81,0.04530742333224865,0.1990805977813288,0.5475244717671811,0.09835525252768247,0.11171384740331086,0.025775900443182773,0.1952525732018513,0.10121398096992114,0.1126512781941505,0.10398698980864898
0.8200000000000001,0.04776045551599717,0.20319876238683218,0.566405916553748,0.10107022062295526,0.1133448243187963,0.027618149081502154,0.2073985929644882,0.10626774800819316,0.11683831017109972,0.10564032974982387
0.8300000000000001,0.05045668681741091,0.20756698645082924,0.5859203226497377,0.10397642034384959,0.11507027620281793,0.029678531069728228,0.22066934810895467,0.11178173212559711,0.12135455307102733,0.10739170990798208
0.8400000000000001,0.05343646896241245,0.21221856357247704,0.6060837524248125,0.10710095690837933,0.11690291578325968,0.03199737901630106,0.23521775165138792,0.11782679418471029,0.12624793493020817,0.10925440334604981
0.8500000000000001,0.05674983030552873,0.21719353070303787,0.6269106317419761,0.11047672713878387,0.1188580528055884,0.03462552326917938,0.2512244465961609,0.1244896095065858,0.13157676325412668,0.11124441117591607
0.86,0.060459609721011096,0.2225405911828652,0.6484131145692147,0.11414414203734809,0.12095434406235892,0.037627922952189696,0.26890409573819646,0.13187744051386738,0.13741281948260756,0.11338125381920051
0.87,0.06464590751105277,0.22831976734956688,0.6706002679642861,0.11815352684255835,0.1232148319277697,0.041088908909221074,0.28851336688406587,0.1401247786833068,0.14384566555650571,0.11568906771887091
0.88,0.06941255394182502,0.23460613953057766,0.6934770192639675,0.12256854055474027,0.12566841459331063,0.04511993684167599,0.3103611263698682,0.1494027820335841,0.15098876906902578,0.11819815956502992
0.89,0.07489676052258326,0.24149524876569367,0.7170427828408552,0.12747117441226935,0.12835198108277726,0.049871368591631826,0.334821510584812,0.1599330056326167,0.15898843435174106,0.12094726579730793
0.9,0.08128396400355606,0.24911113138083008,0.741289645511668,0.13296927865900982,0.13131360452137947,0.05555094398060496,0.36235073375175264,0.17200792819524702,0.16803720480280918,0.12398693609956463
0.91,0.08883148141809315,0.25761867777496067,0.7661999273141601,0.13920829854851097,0.13461748679985513,0.062453818500492704,0.3935086875159564,0.18602262295302,0.1783946632719214,0.12738477934453354
0.9199999999999999,0.0979078244969661,0.26724342298231824,0.7917428278060158,0.1463903496397646,0.13835193876558396,0.07101355629622332,0.42898651232947227,0.20252547458065423,0.1904210302713687,0.13123394177803469
0.9299999999999999,0.10906143537585403,0.2783048229354728,0.8178696753863826,0.15480682463416956,0.1426429237693081,0.08189327949326673,0.46964113259829016,0.22230309286855818,0.20463411910512436,0.13566751753024708
0.94,0.12314859525234446,0.29127569919013324,0.8445069242947063,0.16489772812685582,0.1476785262826629,0.0961591957400409,0.51653657995619,0.24653042425088215,0.2218118202032313,0.14088462701372775
0.95,0.14159098616111737,0.30689697536357363,0.8715452588731326,0.17736863268295897,0.1537568444496775,0.11563807941781104,0.5709879160893438,0.2770548341812861,0.24319103408438347,0.14720155548811595
0.96,0.16695087525138827,0.32642312575125515,0.8988213228940048,0.19344705995513473,0.16139029146820008,0.14373275773177732,0.6345912500811498,0.31698342027062526,0.27089446835768405,0.1551633599142614
0.97,0.20441297074428832,0.3522289913625099,0.9260835925642149,0.21553515874864543,0.17156970905423316,0.18755656627433584,0.7091852333305034,0.3720526953370271,0.3089834153237177,0.1658271823645054
0.98,0.266513246515568,0.3896845197345755,0.9529171225757529,0.24930221780300413,0.18660921346055132,0.2647376159903531,0.7965592754498474,0.4544428760848485,0.3666684902218366,0.1816712673516769
0.99,0.39505714635138717,0.45588665961381414,0.9785209866136708,0.31395769087792014,0.2143254344543234,0.43301989228851084,0.8971514959240756,0.597154170518176,0.47265556762405203,0.21111023419951938
